danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,1Y3LN4zO1Edc2EluIoSPJN,176440,3
0.593,0.352,4,-8.296,1,0.0284,0.695,2.22e-05,0.3,0.226,119.988,50x1Ic8CaXkYNvjmxe3WXy,220750,3
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,6CDzDgIUqeDY5g8ujExx2f,238805,4
0.64,0.852,1,-8.119,0,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,37Q5anxoGWYdRsyeXkkNoI,246520,4
0.194,0.871,9,-7.922,1,0.0465,1.6e-05,0.0273,0.0873,0.752,159.41,6A82LV89Dc6eMJI4ocqwUS,159773,4
0.451,0.837,9,-5.852,1,0.0456,0.0216,0.00061,0.344,0.749,146.026,7Dg1CV2kdFaNSOAH6CcPNJ,252387,4
0.164,0.965,11,-4.672,1,0.0799,0.000177,0.0,0.206,0.454,172.404,4fqbuuXQekCknaHw31YrFn,209733,4
0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,1vxw6aYJls2oq3gW0DujAo,177466,4
0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541,6J2LdBN97cDWn0MLxYh9HB,156106,4
0.328,0.904,3,-5.063,0,0.0455,4.31e-05,0.064,0.11,0.516,186.253,2yYASbXnAV71CLbNY1HCWf,190573,4
0.705,0.569,1,-8.096,1,0.0534,0.0476,0.0,0.129,0.866,142.962,3PY9Ox9fKPqZJCzPjUQ0I6,176224,4
0.454,0.503,7,-6.992,1,0.027,0.235,0.0,0.358,0.459,83.952,7eNdbY0tlrWNKaiaCZGljh,219707,4
0.453,0.795,11,-12.224,0,0.0297,0.000333,0.000728,0.097,0.726,139.762,51VBSWvVy3UD3H2nluQyNQ,199360,4
